,COURSE TITLE,COURSE CODE2,R1 POINTS,R2 POINTS
196,Fine Art at CIT Crawford College of Art and Design,CR220,#+matric,
197,Photography with New Media,CR225,#+matric,
199,Physical Sciences (Common Entry),CR305,282,
200,IT Management,CR310,297,
201,Biomedical Science - Offered jointly by CIT and UCC,CR320,565,
202,Pharmaceutical Biotechnology,CR325,398,
203,Nutrition and Health Science,CR333,402,
204,Biological Sciences (Common Entry),CR335,420,
205,Analytical Chemistry with Quality Assurance,CR340,251,
206,Instrument Engineering,CR360,261,
207,Environmental Science and Sustainable Technology,CR365,253,
208,Agri-Biosciences,CR370,397,
209,Accounting,CR400,316,
210,Marketing,CR420,285,
211,International Business with Language,CR425,298,
212,Sport and Exercise Management,CR430,322,
213,Montessori Education,CR440,288,
214,Engineering (Common Entry),CR500,411,
215,Sustainable Energy Engineering,CR510,320,
216,Biomedical Engineering,CR520,444,
217,Architectural Technology,CR560,308,
218,Interior Architecture,CR565,359,
219,Quantity Surveying,CR570,336,
220,Construction Management,CR572,269,
221,Electrical Engineering,CR580,318,
222,Electronic Engineering,CR590,303,
223,Visual Communications,CR600,#+matric,
229,Tourism Management,CR660,252,
230,Theatre and Drama Studies at CIT Cork School of Music,CR700,740,645
235,Information Technology,CT125,220,
236,Business,CT325,338,
238,Business (options),CW018,298,248
240,Early Childhood Education and Care,CW028,252,
242,Art (portfolio),CW038,700,
245,Tourism and Event Management,CW058,298,
246,Applied Social Studies in Professional Social Care,CW068,245,
248,Sustainable Farm Management and Agribusiness,CW078,269,
249,Visual Communications and Design,CW088,274,
252,Science (options),CW108,261,
256,Brewing and Distilling,CW128,263,
257,Sport and Exercise Science,CW138,423,
258,Strength and Conditioning,CW148,379,
259,Sport Rehabilitation and Athletic Therapy,CW188,451,448
262,Computer Games Development,CW208,279,
266,Software Development,CW238,297,
267,Information Technology Management,CW248,285,
268,Cybercrime and IT Security,CW258,293,
269,Computing in Interactive Digital Art and Design,CW268,287,
273,Construction (options),CW438,272,
274,Architectural Technology,CW468,262,
275,Civil Engineering,CW478,433,
280,Mechanical Engineering,CW548,321,
281,Electronic Systems,CW558,280,
282,Aerospace Engineering,CW568,380,
283,TV and Media Production,CW578,325,
286,Law - LLB,CW708,302,
288,Product Design Innovation,CW728,252,
289,Early Childhood Education and Care,CW748,270,
290,Professional Social Care Practice,CW758,336,
292,Media and Public Relations,CW808,251,
296,Digital Marketing with Analytics,CW848,254,
297,"Sports Management and Coaching (options, portfolio)",CW858,700,
299,Business (options),CW908,280,
303,Business with Law,CW938,283,
304,Accounting,CW948,300,
305,Computing,DB500,218,218
306,Computing (Cloud Computing),DB501,227,227
307,Computing (Data Analytics and Big Data),DB502,341,341
308,Computing (Software Development),DB503,225,225
309,Computing (Web and Mobile Technology),DB504,,281
310,Audio Production and Music Project Management,DB510,234,223
311,Business Studies,DB512,218,203
312,Business Studies (Law),DB514,252,
313,Business Studies (Human Resource Management),DB515,244,244
314,Financial Services,DB516,,
315,Marketing (Event Management),DB517,238,
316,Accounting and Finance,DB521,225,195
317,Business (Information Systems),DB524,342,309
318,Business (Cloud Computing),DB526,347,
319,Applied Social Care,DB527,234,260
321,Marketing,DB531,293,
323,Psychology,DB562,243,229
325,Social Science,DB566,220,227
326,Film and Creative Media,DB567,218,202
327,Law,DB568,219,252
328,Business (Psychology),DB569,252,
334,Education - Early Childhood Education,DC001,440,
335,Education - Primary Teaching,DC002,488,
336,Education - Primary Teaching - Gaeltacht Applicants,DC003,445,
337,Education - Primary Teaching (Church of Ireland Centre formerly CICE),DC004,411,409
338,Arts (Joint Honours) - Humanities,DC009,376,
339,Post Primary Teacher Education - Religious Education and English,DC010,441,429
340,Post Primary Teacher Education - Religious Education and History,DC011,412,391
341,Post Primary Teacher Education - Religious Education and Music,DC012,378,
342,Post Primary Teacher Ed - Gaeilge with French/German/Spanish,DC013,419,
343,BA in Jazz and Contemporary Music Performance (audition),DC014,419,
344,Business Studies International,DC110,465,
345,Business Studies,DC111,488,
346,Global Business (France),DC112,517,510
347,Global Business (Germany),DC113,462,
348,Global Business (Spain),DC114,522,
349,Accounting and Finance,DC115,510,
350,Global Business (USA),DC116,579,
351,Aviation Management / Aviation Management with Pilot Studies,DC117,476,475
352,Gnó agus Gaeilge / Business and Irish,DC118,359,
353,Global Business (Canada),DC119,564,
354,Enterprise Computing,DC120,357,
355,Computer Applications,DC121,400,
356,Data Science,DC123,465,
357,Actuarial Mathematics,DC126,560,
358,Common Entry into Actuarial and Financial Mathematics,DC127,532,520
359,Communication Studies,DC131,407,402
360,Journalism,DC132,429,422
361,Multimedia,DC133,411,410
362,Applied Language and Translation Studies,DC155,387,
363,Analytical Science,DC161,498,489
364,Chemical and Pharmaceutical Sciences,DC162,521,
365,Environmental Science and Technology,DC166,433,399
366,Genetics and Cell Biology,DC168,512,510
367,Physics General Entry (options),DC175,419,402
368,Biotechnology,DC181,499,495
369,Electronic and Computer Engineering (with choice of four majors),DC190,413,
370,Mechatronic Engineering,DC193,411,
371,Mechanical and Manufacturing Engineering,DC195,425,
372,Biomedical Engineering,DC197,423,
373,Common Entry into Engineering (Undenominated Entry),DC200,422,
374,Common Entry into Science (Undenominated Entry),DC201,498,488
375,Sport Science and Health,DC202,500,498
376,Science Education,DC203,435,
377,Athletic Therapy and Training,DC204,522,519
378,Physical Education with Biology,DC205,531,
379,Physical Education with Mathematics,DC206,499,
380,Psychology,DC208,532,521
381,Health and Society,DC209,465,440
382,General Nursing,DC215,454,433
383,Mental Health Nursing,DC216,418,403
384,Intellectual Disability Nursing,DC217,370,
385,Children`s and General Nursing (Integrated),DC218,500,498
386,"Economics, Politics and Law",DC230,435,
387,International Relations,DC231,397,
388,Law and Society (BCL),DC232,466,
389,Education and Training - Daytime and Flexible Delivery Mode (full-time),DC235,309,
390,Social Sciences and Cultural Innovation,DC238,377,
391,"Gaeilge, Iriseoireacht agus na Meáin Dhigiteacha",DC239,430,
392,"Marketing, Innovation and Technology",DC240,476,474
393,Arts (Joint Honours) - Media Studies,DC291,376,
394,Arts (Joint Honours) - Law,DC292,403,
395,Arts (Joint Honours) - International Languages,DC293,377,
396,Arts (Joint Honours) - Politics,DC295,376,
420,Accounting and Finance,DK810,305,305
421,Business Studies,DK816,300,300
422,Computing in Games Development,DK820,311,311
423,Computing in Software Development,DK821,302,302
424,Augmented and Virtual Reality,DK822,307,
425,Building Surveying,DK830,336,
426,Architectural Technology,DK831,389,
427,Construction Management,DK832,387,
428,Engineering (Common Entry),DK843,340,340
429,Mechanical Engineering,DK844,305,305
430,Electrical & Electronic Engineering,DK845,304,304
431,Civil Engineering,DK846,391,361
432,International Tourism Management,DK850,317,317
433,Music (audition),DK860,532,532
434,Arts,DK861,302,302
435,Social Care,DK862,301,
436,Creative Media,DK863,308,308
437,Film and Television Production,DK864,300,300
438,Audio and Music Production,DK865,301,
439,General Nursing,DK870,403,401
440,Intellectual Disability Nursing,DK872,336,
441,Mental Health Nursing,DK874,356,
442,Early Childhood Studies,DK876,321,
443,Midwifery,DK877,440,
444,Health and Physical Activity,DK880,328,
445,Agriculture (Award options),DK882,310,
446,Science (Award options),DK883,358,321
447,Sustainable Agriculture,DK884,,
448,Agri-Food Production,DK885,,
449,Biopharmaceutical Science,DK886,301,
450,Environmental Science,DK887,330,
452,"English, Media and Cultural Studies",DL821,212,212
453,Arts Management,DL822,229,229
454,Business Management,DL823,235,
455,Applied Psychology,DL825,379,
456,Visual Communication Design,DL826,855,
457,Art,DL827,572,
458,"3D Design, Modelmaking and Digital Art",DL828,506,
459,Design for Stage and Screen (Costume Design),DL829,593,
460,Design for Stage and Screen (Character Makeup Design),DL830,939,
461,Design for Stage and Screen (Production Design),DL831,781,
462,Animation,DL832,920,
463,Photography,DL833,650,
464,Film and Television Production,DL834,990,
465,Creative Computing,DL836,219,
466,New Media Studies,DL837,201,
467,Creative Music Production,DL838,754,
468,Interaction and User Experience Design,DL839,683,683
469,Digital Marketing,DL840,228,228
470,English and Equality Studies,DL841,276,
471,Architecture,DN100,510,
472,Landscape Architecture,DN120,407,
473,City Planning and Environmental Policy,DN130,407,400
474,Engineering (Common Entry),DN150,531,521
475,Science (options),DN200,533,
476,Computer Science (Common Entry),DN201,510,
477,Actuarial and Financial Studies,DN230,601,
478,Sustainability,DN240,440,
479,Agricultural Science (options),DN250,456,455
480,Dairy Business,DN252,410,
481,Agri - Environmental Sciences,DN253,418,
482,Food Science,DN261,477,
483,Human Nutrition,DN262,531,
484,Forestry,DN271,311,
485,"Horticulture, Landscape and Sportsturf Management",DN272,297,282
486,Veterinary Medicine - Undergraduate Entry,DN300,589,
487,Veterinary Medicine - Graduate Entry (GAMSAT required),DN301,,
488,Veterinary Nursing,DN310,478,477
489,Medicine - Undergraduate Entry (HPAT required),DN400,737,736
490,Medicine - Graduate Entry (GAMSAT required),DN401,,
491,Radiography,DN410,534,532
492,Radiography - Graduate Entry,DN411,,
493,Physiotherapy,DN420,578,577
494,Health and Performance Science,DN425,510,509
495,Sport and Exercise Management,DN430,455,445
496,"Biomedical, Health and Life Sciences",DN440,590,589
497,General Nursing,DN450,429,424
498,Children`s and General Nursing (Integrated),DN451,509,506
499,Midwifery,DN452,489,476
500,Mental Health Nursing,DN453,397,393
501,Joint Honours (options),DN520,310,
502,Humanities (options),DN530,340,336
503,Modern Languages (options),DN541,303,
504,Law (options),DN600,546,544
505,Business and Law,DN610,545,
506,Commerce,DN650,521,521
507,Commerce International (options),DN660,517,511
508,Economics and Finance,DN670,613,
509,Social Sciences (options),DN700,421,419
510,Economics,DN710,498,498
511,Psychology,DN720,530,522
512,Social Policy and Sociology,DN750,378,
524,Accounting,GA181,309,
525,Business,GA182,287,
526,Business Information Systems,GA183,296,
527,Marketing and Sales,GA184,307,
528,Finance and Economics,GA185,293,
529,Business with Entrepreneurship,GA186,280,
530,Rural Enterprise and Agri-Business,GA187,281,
534,Film and Documentary,GA281,304,
535,Heritage Studies,GA282,220,
536,Contemporary Art,GA283,679,
537,Design,GA284,303,
538,"Education (Art, Design and Graphics)",GA285,,
547,International Hotel Management,GA380,242,
548,International Tourism Management,GA381,278,
549,Culinary and Gastronomic Science,GA382,206,
550,Event Management with Public Relations,GA384,212,
555,Construction Management,GA480,260,
556,Quantity Surveying and Construction Economics,GA482,288,
557,Architectural Technology,GA483,265,
558,Civil Engineering,GA484,290,
560,Software and Electronic Engineering,GA580,300,
567,Mechanical Engineering,GA680,330,
568,Energy Engineering,GA681,293,
569,Biomedical Engineering,GA682,313,
570,Agricultural Engineering,GA683,309,
571,Engineering (Common entry to Agri/Biomed/Energy/Mech Eng),GA684,340,
572,Manufacturing Engineering Design,GA685,309,
581,Applied Freshwater and Marine Biology,GA780,327,
582,Applied Biology and Biopharmaceutical Science,GA781,337,
583,Chemical and Pharmaceutical Science,GA782,336,
584,Physics and Instrumentation,GA783,363,
585,Science (Undenominated),GA784,372,
586,Medical Science,GA785,473,
587,Forensic Science and Analysis,GA786,317,
588,Computing in Software Development,GA787,270,
589,Computing and Digital Media,GA788,274,
590,Agriculture and Environmental Management,GA789,287,
591,Sport and Exercise Science,GA790,356,
592,Public Health Nutrition,GA791,368,
599,General Nursing,GA880,429,422
600,Psychiatric Nursing,GA882,367,
601,Outdoor Education,GA885,252,
602,History and Geography,GA887,244,
603,Applied Social Care,GA889,266,
604,Early Childhood Education and Care,GA890,270,
605,Geography and Outdoor Education,GA891,244,
607,Education (Design Graphics and Construction),GA980,377,
608,"Furniture Design, Making and Technology - Common Entry",GA984,284,
610,Business Studies,GC200,252,252
611,Accounting and Finance,GC201,303,303
612,Computing Science,GC230,335,325
613,Communications and Media Production,GC250,,
614,Business Studies,GC300,429,
615,Accounting & Finance,GC301,253,253
616,Business Studies - HRM,GC302,,
617,International Hospitality Management,GC305,253,253
620,Business Studies,GC400,248,248
621,Accounting and Finance,GC401,240,227
622,Business Studies (HRM),GC402,264,236
623,Law,GC403,244,228
624,Business Studies (Marketing),GC407,280,280
627,Computing Science,GC430,252,220
629,Communications and Media Production,GC450,254,254
631,Design Communication (portfolio),GC462,,
636,Interior Architecture (portfolio),GC489,254,
638,Fashion Design (portfolio),GC494,337,217
640,Arts (Joint-Honours),GY101,300,
641,Arts (Psychology),GY104,523,520
642,Arts (History),GY105,301,
643,Na Dána (Gaeilge agus Léann an Aistriúcháin),GY107,409,
644,Arts (Mathematics and Education),GY109,403,
645,Arts with Children`s Studies,GY110,357,
646,Arts with Creative Writing,GY111,330,
647,Arts with Film Studies,GY112,321,
648,Arts with Human Rights,GY113,368,
649,Arts with Performing Arts Studies,GY115,387,
650,"Arts (Drama, Theatre and Performance Studies)",GY118,451,
651,Arts (Journalism),GY119,400,
652,"Arts (Child, Youth and Family: Policy and Practice)",GY120,350,
653,Arts (Children`s Studies),GY121,356,
654,Na Dána (Cumarsáid agus Gaeilge),GY122,361,
655,Applied Social Sciences,GY123,358,
656,Arts (Arts with Data Science),GY124,454,
657,Arts (Digital Arts and Technology),GY125,328,
658,Arts (English and Media Studies),GY126,391,
659,Arts (Film and Digital Media),GY127,401,
660,Arts (Global Languages),GY128,352,
661,Arts (International),GY129,420,
662,Arts (Music),GY130,408,
663,Arts (History and Globalisation Studies),GY131,360,
664,"Government (Politics, Economics and Law)",GY132,407,
665,Education (Computer Science and Mathematical Studies),GY133,422,
666,Geography and Geosystems,GY134,410,
667,Commerce,GY201,433,
668,Commerce (International) with French,GY202,484,
669,Commerce (International) with German,GY203,489,
670,Commerce (International) with Spanish,GY204,495,
671,Business Information Systems (Work Placement & Optional Int`l Study),GY206,465,
672,Commerce (Accounting) including optional Global Experience year,GY207,509,
673,Commerce (Gaeilge),GY208,473,
674,Commerce (Global Experience),GY209,530,
675,Law and Business,GY250,487,
676,Law (BCL),GY251,499,
677,Law (BCL) and Human Rights,GY252,520,
678,Law and Taxation,GY253,509,
679,"Law (BCL), Criminology and Criminal Justice",GY254,530,
680,"Business Studies (International Hotel Management, interview)",GY261,497,
681,"Commerce (International Hotel Management, interview)",GY262,681,
682,Science,GY301,433,432
683,Biomedical Science,GY303,556,
684,Biotechnology,GY304,465,
685,Environmental Science,GY308,408,
686,Financial Mathematics and Economics,GY309,487,
687,Marine Science,GY310,419,
688,Environmental Health and Safety,GY313,412,
689,Earth and Ocean Sciences,GY314,403,
690,Biopharmaceutical Chemistry,GY318,509,
691,Mathematical Science,GY319,476,
692,"Physics (Degree options: Applied,Astrophysics,Biomedical,Theoretical)",GY320,402,
693,Genetics and Genomics,GY321,508,
694,Computer Science and Information Technology,GY350,403,
695,Engineering (Undenominated),GY401,465,
696,Civil Engineering,GY402,455,
697,Mechanical Engineering,GY405,454,
698,Electronic and Computer Engineering,GY406,510,
699,Biomedical Engineering,GY408,509,
700,Project and Construction Management,GY410,403,
701,Energy Systems Engineering,GY413,502,
702,Electrical and Electronic Engineering,GY414,405,
703,"Medicine (five year/six year course, HPAT required)",GY501,728,
704,Occupational Therapy,GY502,555,
705,Speech and Language Therapy,GY503,543,
706,Podiatric Medicine,GY504,443,
707,General Nursing (Galway and Portiuncula),GY515,476,473
708,Mental Health Nursing,GY516,440,
709,Midwifery,GY517,495,
710,Accounting and Finance,ID001,203,
711,Business Studies,ID002,294,
712,"Art and Design (Common Entry, portfolio)",LC110,740,
713,Fashion and Textiles for Product and Costume (portfolio),LC114,880,
714,Art and Design Teacher Education (portfolio),LC115,942,
715,Digital Marketing,LC220,262,
718,Law and Taxation,LC223,307,
719,Accounting and Finance,LC224,300,
720,Marketing and Management,LC225,298,
721,Enterprise and Innovation,LC226,234,234
724,Software Development,LC233,272,
725,Interactive Digital Media,LC234,225,
727,Internet Systems Development,LC236,262,260
728,Computer Networks and Systems Management,LC239,307,
729,Construction Management,LC241,255,
730,Property Valuation and Management,LC242,282,
731,Quantity Surveying,LC243,294,
732,Built Environment (Common Entry),LC248,288,
734,Civil Engineering Management,LC252,270,
737,Clinical Technology,LC263,294,
738,Forensic and Pharmaceutical Sciences,LC265,413,
739,Drug and Medicinal Product Analysis,LC266,262,
744,Electrical Engineering,LC275,298,
754,Mechanical Engineering,LC288,347,346
755,Precision Engineering,LC289,291,
757,Social Care Work,LC292,367,
758,Business Studies with Travel and Tourism Management,LC293,307,
759,Business Studies with Event Management,LC294,279,
760,Business Studies with Sports Management,LC295,252,
761,Community Development,LC297,235,
762,Business,LC320,346,
763,Business with Computing,LC330,297,
765,Interior Design,LC340,350,
766,Biotechnology and Biopharmaceutical Sciences,LC362,413,
767,Creative Broadcast and Film Production,LC371,309,
768,Music Technology and Production,LC372,325,
769,Renewable and Electrical Energy Engineering,LC374,318,
770,Industrial Automation and Robotic Systems,LC375,317,
771,Electronic Engineering,LC376,318,
772,Automotive Engineering and Transport Management,LC380,303,298
773,Business Studies in Beauty and Spa Management,LC392,236,
774,Early Childhood Education and Care,LC393,236,
777,Early Childhood Education and Care,LC401,297,
778,Social Care Work,LC402,225,
779,Environmental Science and Climate,LC408,279,
780,Data Analytics and Cyber Security,LC414,236,
782,Business,LC416,274,
783,Computing - Games Design and Development,LC418,270,
784,Sports Strength and Conditioning,LC422,298,
789,Environmental Science and Agriculture,LC434,297,
790,Game Art and Design (portfolio),LC502,852,
792,Creative Media and Design,LC517,234,
793,Digital Animation Production (portfolio),LC518,808,
797,Social Care Work,LC612,320,
798,Early Childhood Education and Care,LC613,242,
799,Arts,LM002,348,
800,Law and Accounting,LM020,465,
801,Performing Arts (audition required),LM026,303,
802,Criminal Justice,LM028,418,
803,Law Plus,LM029,490,
804,Psychology and Sociology,LM038,500,
805,Journalism and Digital Communication,LM039,402,
806,European Studies,LM040,369,
807,Applied Languages,LM044,442,
808,Business Studies (options),LM050,431,
809,International Business,LM056,528,
810,Financial Mathematics,LM058,403,
811,Technology Management,LM063,379,
812,Food Science and Health,LM068,421,
813,Product Design and Technology (portfolio required),LM076,408,
814,Aeronautical Engineering,LM077,520,
815,Construction Management and Engineering,LM082,398,
816,Sport and Exercise Sciences,LM089,474,
817,Physical Education with concurrent Teacher Education,LM090,532,
818,Languages with concurrent Teacher Education,LM091,517,
819,Science with Teacher Ed (Biology with Physics/Chemistry/Ag Science),LM092,507,
820,Equine Science,LM093,339,
821,Materials and Architectural Technology with concurrent Teacher Education,LM094,440,
822,Materials and Engineering Technology with concurrent Teacher Education,LM095,367,
823,Science with Teacher Ed (Physical Sciences with Chemistry and Physics),LM096,405,
824,Mathematics and Computer Science with concurrent Teacher Education,LM097,402,
825,Architecture (portfolio requirement suspended),LM099,498,
826,Physiotherapy,LM100,589,
827,Medicine  - Graduate Entry (GAMSAT required),LM101,55,
828,Psychology,LM102,509,
829,Paramedic Studies (B/C1/C1 Provisional Drivers Licence),LM103,392,
830,Chemical and Biochemical Engineering,LM115,454,
831,Engineering (Biomedical/Civil/Design and Manufacture/Mechanical),LM116,476,
832,Electronic and Computer Engineering,LM118,403,
833,Computer Science (Computer Systems/Games Dev/Mobile Comm Security),LM121,351,
834,Creative Media and Interaction Design (Digital Design/Music Media Tech),LM122,327,
835,Biological & Chemical Sciences (Biosci/Envir Sci/Ind Bio/IndPharma Chem),LM123,441,
836,Mathematics (Math Science/Maths and Physics/Economics and Maths),LM124,437,
837,Physics (Applied Physics or Mathematics & Physics),LM125,404,
838,General Nursing,LM150,475,
839,Mental Health Nursing,LM152,419,
840,Intellectual Disability Nursing,LM154,420,
841,Midwifery,LM156,469,
844,Business - Accounting,LY108,309,
845,Business,LY118,290,
848,Law,LY208,300,
849,Sports and Exercise - Common Entry,LY228,300,
852,Design - Common Entry,LY408,320,
858,Fire Safety Engineering,LY508,276,
859,Quantity Surveying,LY518,301,
861,Construction Management,LY528,271,
863,Mechanical Engineering,LY608,300,
865,Electronic Engineering,LY618,312,
867,Applied Computing,LY708,306,
870,Computer Science,LY748,317,317
874,Science - Common Entry,LY818,303,
876,Agriculture - Common Entry,LY828,307,
884,General Nursing,LY908,400,
886,Psychiatric Nursing,LY918,357,
887,Intellectual Disability Nursing,LY928,326,
888,"Early Childhood Care, Health and Education",LY968,303,
889,Health & Social Care - Common Entry,LY978,280,
890,Education - Primary Teaching (Froebel),MH001,507,
891,Education - Primary Teaching - Gaeltacht Applicants (Froebel),MH002,,
892,Arts,MH101,318,
893,Music,MH103,#,
894,Psychology - 3 years,MH106,521,
895,Social Science,MH107,346,
896,Media Studies,MH109,316,
897,Community and Youth Work (Full-Time),MH116,#,
898,Science,MH201,360,
899,Biotechnology,MH202,455,
900,Biological and Geographical Sciences,MH203,430,
901,Physics with Astrophysics,MH204,422,
902,Theoretical Physics and Mathematics,MH206,510,
903,Data Science,MH207,445,
904,Biological and Biomedical Sciences,MH208,498,
905,Psychology (through Science) - 4 years,MH209,498,
906,Pharmaceutical and Biomedical Chemistry,MH210,487,
907,Science or Maths & Computer Science or Maths & Applied Maths (with Ed),MH212,422,
908,Engineering (Computer/Electronic/Communications),MH304,333,333
909,Product Design,MH305,357,
910,Robotics and Intelligent Devices,MH306,361,
911,Finance (options),MH401,357,
912,Quantitative Finance,MH402,476,
913,Accounting and Finance,MH403,422,
914,Business (options),MH404,430,
915,Equine Business,MH405,357,
916,Business and Accounting,MH407,420,
917,Entrepreneurship,MH411,371,
918,LLB Law - four year Single Major Law programme,MH501,473,
919,Law (options),MH502,451,
920,Computer Science through Arts (options),MH601,352,
921,Computer Science through Science (options),MH602,351,
922,Computational Thinking,MH603,532,
